Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Jerry Sloan,SF,53,0,1822,6.125137211855104,14.562019758507134,0.0,0.0,4.090010976948408,6.283205268935236,0.0,0.0,3.260153677277717,0.0,0.0,0.0,3.5367727771679474,16.340285400658615,12.6,0.47200000000000003,0.0,0.431,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.1,1.8,1.9,0.05,0.0,0.0,0.0,34.37735849056604
Greg Smith,PF,82,0,2368,5.153716216216217,10.094594594594595,0.0,0.0,1.900337837837838,2.6452702702702706,0.0,0.0,2.371621621621622,0.0,0.0,0.0,4.621621621621622,12.20777027027027,12.5,0.542,0.0,0.262,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,2.8,2.7,5.5,0.111,0.0,0.0,0.0,28.878048780487806
Dick Snyder,SG,76,0,2290,6.822707423580786,12.85938864628821,0.0,0.0,2.546724890829694,3.14410480349345,0.0,0.0,5.234934497816594,0.0,0.0,0.0,4.0401746724890835,16.192139737991265,8.3,0.526,0.0,0.17800000000000002,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.057999999999999996,0.0,0.0,0.0,30.13157894736842
Nate Thurmond,C,43,0,1919,6.397081813444502,15.458051068264721,0.0,0.0,4.896300156331423,6.4908806670140695,0.0,0.0,2.8139656070870243,0.0,0.0,0.0,2.0635747785304845,17.690463783220427,18.2,0.483,0.0,0.42,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.7,3.0,3.7,0.09300000000000001,0.0,0.0,0.0,44.627906976744185
Wes Unseld,C,82,0,3234,5.855287569573283,11.298701298701298,0.0,0.0,3.038961038961039,4.7643784786641925,0.0,0.0,3.2393320964749535,0.0,0.0,0.0,2.782931354359926,14.749536178107606,17.8,0.551,0.0,0.42200000000000004,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,5.1,6.0,11.1,0.16399999999999998,0.0,0.0,0.0,39.4390243902439
Dick Van Arsdale,SG,77,0,2966,7.185434929197572,14.152393796358732,0.0,0.0,5.571139581928523,6.979096426163182,0.0,0.0,4.102494942683749,0.0,0.0,0.0,3.422791638570465,19.942009440323666,16.0,0.579,0.0,0.493,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,8.0,0.9,9.0,0.145,0.0,0.0,0.0,38.51948051948052
Tom Van Arsdale,SF,71,0,2544,8.773584905660378,19.471698113207548,0.0,0.0,5.3915094339622645,6.962264150943397,0.0,0.0,2.1933962264150946,0.0,0.0,0.0,3.4952830188679247,22.93867924528302,16.3,0.509,0.0,0.358,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,3.1,1.8,5.0,0.09300000000000001,0.0,0.0,0.0,35.83098591549296
Norm Van Lier,PG,81,0,2895,3.7554404145077718,9.3139896373057,0.0,0.0,2.0642487046632123,2.7854922279792746,0.0,0.0,6.217616580310881,0.0,0.0,0.0,4.091191709844559,9.575129533678757,9.8,0.45399999999999996,0.0,0.299,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,-0.4,2.5,2.1,0.035,0.0,0.0,0.0,35.74074074074074
Chet Walker,SF,78,0,2726,7.870873074101247,16.494497432134995,0.0,0.0,6.3785766691122525,7.501100513573001,0.0,0.0,2.5355832721936906,0.0,0.0,0.0,2.6808510638297873,22.120322817314747,18.8,0.5589999999999999,0.0,0.455,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,7.0,2.7,9.8,0.172,0.0,0.0,0.0,34.94871794871795
Jimmy Walker,SG,81,0,2869,8.356918787033809,17.491808992680376,0.0,0.0,4.454513767863367,5.521087486929243,0.0,0.0,3.111885674451028,0.0,0.0,0.0,2.5472289996514466,21.168351341930986,16.4,0.531,0.0,0.316,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.3,0.9,6.2,0.10400000000000001,0.0,0.0,0.0,35.41975308641975
Jim Washington,PF,79,0,2459,5.870679137860919,12.326962179747865,0.0,0.0,2.986579910532737,3.996746644977633,0.0,0.0,1.5225701504676699,0.0,0.0,0.0,3.8357055713704757,14.727938186254574,13.0,0.523,0.0,0.324,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,2.5,2.9,5.5,0.107,0.0,0.0,0.0,31.126582278481013
Bob Weiss,PG,82,0,2544,5.165094339622642,12.099056603773585,0.0,0.0,3.0141509433962264,3.5801886792452833,0.0,0.0,6.7075471698113205,0.0,0.0,0.0,2.9150943396226414,13.34433962264151,12.5,0.488,0.0,0.29600000000000004,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,1.1,2.4,3.6,0.068,0.0,0.0,0.0,31.024390243902438
Jerry West,PG,74,0,3106,9.631680618158402,19.39085640695428,0.0,0.0,7.49903412749517,9.098518995492595,0.0,0.0,6.421120412105601,0.0,0.0,0.0,1.854475209272376,26.762395363811976,24.6,0.5720000000000001,0.0,0.469,0.0,0.0,0.0,27.1,0.0,0.0,0.0,0.0,11.5,3.7,15.2,0.23399999999999999,0.0,0.0,0.0,41.972972972972975
Lenny Wilkens,PG,75,0,2802,5.755888650963597,13.69593147751606,0.0,0.0,5.627408993576017,7.143468950749464,0.0,0.0,8.775160599571734,0.0,0.0,0.0,2.7237687366167025,17.13918629550321,17.3,0.509,0.0,0.522,0.0,0.0,0.0,31.3,0.0,0.0,0.0,0.0,3.0,1.9,4.9,0.084,0.0,0.0,0.0,37.36
Ron Williams,PG,80,0,2435,6.682546201232033,15.464476386036962,0.0,0.0,4.095277207392197,4.982340862422998,0.0,0.0,6.268583162217659,0.0,0.0,0.0,4.2431211498973305,17.46036960985626,14.4,0.494,0.0,0.322,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,1.8,2.6,4.4,0.086,0.0,0.0,0.0,30.4375
