name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,games_played_y,minutes_played_y,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
George Lynch,SMALL FORWARD,82,80,2649,274,616,15,57,123,171,200,390,139,99,30,109,222,686,82,2649,12.4,0.496,0.09300000000000001,0.278,8.7,16.3,12.6,8.4,2.0,0.8,13.6,13.7,2.3,4.2,6.5,0.11800000000000001,-0.8,1.3,0.5,32.30487804878049
Karl Malone,POWER FORWARD,81,81,2895,670,1345,2,5,536,676,114,555,361,93,62,244,216,1878,81,2895,24.7,0.5720000000000001,0.004,0.503,5.0,23.3,14.3,24.1,1.7,1.7,12.9,30.0,9.1,4.0,13.1,0.217,5.5,1.1,6.6,35.74074074074074
Stephon Marbury,POINT GUARD,67,67,2557,563,1277,110,335,362,458,53,152,506,79,5,197,150,1598,67,2557,22.7,0.54,0.262,0.359,2.3,7.0,4.6,40.8,1.6,0.1,11.8,29.7,7.2,0.7,7.8,0.147,5.9,-1.6,4.3,38.16417910447761
Shawn Marion,SMALL FORWARD,79,79,2857,557,1160,21,82,234,289,220,628,160,132,108,129,211,1369,79,2857,21.0,0.532,0.071,0.249,8.6,25.4,16.8,10.2,2.4,2.7,9.1,22.1,5.3,6.4,11.7,0.196,2.3,1.8,4.1,36.164556962025316
Donyell Marshall,SMALL FORWARD,81,49,2326,427,849,41,128,205,273,172,394,133,85,78,128,196,1100,81,2326,19.9,0.568,0.151,0.322,9.4,20.6,15.1,10.1,2.0,2.7,11.7,21.7,5.1,3.3,8.5,0.174,3.2,0.6,3.7,28.71604938271605
Kenyon Martin,POWER FORWARD,68,68,2272,346,777,1,11,121,192,137,365,131,78,113,138,281,814,68,2272,13.4,0.47200000000000003,0.013999999999999999,0.247,6.7,19.0,12.7,10.4,1.8,3.7,13.8,19.9,-0.4,2.5,2.1,0.044000000000000004,-2.1,0.4,-1.7,33.411764705882355
Jamal Mashburn,SMALL FORWARD,76,76,2989,573,1388,103,289,279,364,92,484,411,85,13,211,185,1528,76,2989,17.5,0.493,0.20800000000000002,0.262,3.5,18.4,11.0,26.8,1.5,0.3,12.0,27.1,3.1,4.2,7.3,0.11800000000000001,2.1,0.0,2.1,39.328947368421055
Anthony Mason,POWER FORWARD,80,80,3254,460,954,0,0,370,474,169,601,248,80,25,179,231,1290,80,3254,17.4,0.555,0.0,0.49700000000000005,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20.0,6.0,5.6,11.6,0.171,0.8,1.1,1.9,40.675
Antonio McDyess,POWER FORWARD,70,70,2555,577,1165,0,0,304,434,240,605,146,43,102,162,220,1458,70,2555,22.0,0.5379999999999999,0.0,0.373,10.1,26.1,18.0,10.8,0.9,2.7,10.7,26.5,5.2,2.6,7.8,0.146,2.5,-0.8,1.7,36.5
Tracy McGrady,SHOOTING GUARD,77,77,3087,788,1724,59,166,430,587,192,388,352,116,118,198,160,2065,77,3087,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,8.3,3.9,12.2,0.18899999999999997,6.5,0.5,7.0,40.09090909090909
Jeff McInnis,POINT GUARD,81,81,2831,432,933,52,144,130,161,41,179,447,75,7,113,199,1046,81,2831,15.6,0.521,0.154,0.17300000000000001,1.7,7.0,4.4,27.7,1.4,0.2,10.1,18.2,5.8,1.1,6.9,0.11699999999999999,0.6,-0.9,-0.3,34.95061728395062
